,DateTime,PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Year,Month,Day
0,10-03-2004 18:00,1360,11.9,1046,1056,1692,1268,13.6,48.9,0.7578,2004,3,10
1,10-03-2004 19:00,1292,9.4,955,1174,1559,972,13.3,47.7,0.7255,2004,3,10
2,10-03-2004 20:00,1402,9,939,1140,1555,1074,11.9,54,0.7502,2004,3,10
3,10-03-2004 21:00,1376,9.2,948,1092,1584,1203,11,60,0.7867,2004,3,10
4,10-03-2004 22:00,1272,6.5,836,1205,1490,1110,11.2,59.6,0.7888,2004,3,10
5,10-03-2004 23:00,1197,4.7,750,1337,1393,949,11.2,59.2,0.7848,2004,3,10
6,11-03-2004 00:00,1185,3.6,690,1462,1333,733,11.3,56.8,0.7603,2004,3,11
7,11-03-2004 01:00,1136,3.3,672,1453,1333,730,10.7,60,0.7702,2004,3,11
8,11-03-2004 02:00,1094,2.3,609,1579,1276,620,10.7,59.7,0.7648,2004,3,11
9,11-03-2004 03:00,1010,1.7,561,1705,1235,501,10.3,60.2,0.7517,2004,3,11
10,11-03-2004 04:00,1011,1.3,527,1818,1197,445,10.1,60.5,0.7465,2004,3,11
11,11-03-2004 05:00,1066,1.1,512,1918,1182,422,11,56.2,0.7366,2004,3,11
12,11-03-2004 06:00,1052,1.6,553,1738,1221,472,10.5,58.1,0.7353,2004,3,11
13,11-03-2004 07:00,1144,3.2,667,1490,1339,730,10.2,59.6,0.7417,2004,3,11
14,11-03-2004 08:00,1333,8,900,1136,1517,1102,10.8,57.4,0.7408,2004,3,11
15,11-03-2004 09:00,1351,9.5,960,1079,1583,1028,10.5,60.6,0.7691,2004,3,11
16,11-03-2004 10:00,1233,6.3,827,1218,1446,860,10.8,58.4,0.7552,2004,3,11
17,11-03-2004 11:00,1179,5,762,1328,1362,671,10.5,57.9,0.7352,2004,3,11
18,11-03-2004 12:00,1236,5.2,774,1301,1401,664,9.5,66.8,0.7951,2004,3,11
19,11-03-2004 13:00,1286,7.3,869,1162,1537,799,8.3,76.4,0.8393,2004,3,11
20,11-03-2004 14:00,1371,11.5,1034,983,1730,1037,8,81.1,0.8736,2004,3,11
21,11-03-2004 15:00,1310,8.8,933,1082,1647,946,8.3,79.8,0.8778,2004,3,11
22,11-03-2004 16:00,1292,8.3,912,1103,1591,957,9.7,71.2,0.8569,2004,3,11
